代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),发行数量总计(万股),新股发行数量(万股),老股转让数量(万股),网下配售数量(万股),网上发行数量(万股),回拨比例(%),预计募资(上市公司)(亿元),募资总额(上市公司)(亿元),募资净额(上市公司)(亿元),上市公司发行费用(万元),上市公司发行费率(%),老股转让费用(万元),转让费率(%),发行费用合计(万元),发行费率(%),承销及保荐费(万元),审计及验资费(万元),法律费用(万元),信息披露费(万元),发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,承销商认购余股(万股),包销金额(万元),包销比例,面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所,上市首日涨跌幅%,上市5日涨跌幅%,上市10日涨跌幅%,上市20日涨跌幅%
300905.SZ,宝丽迪,300905,2020/10/21,2020/10/23,2020/11/5,创业板,49.32,37.18,37.37,1800,1800,0,,1800,0,8.88,8.88,8.12,7585.13,8.54,0,0,7585.13,8.54,5774,926.3,415.09,396.23,上网定价,余额包销,东吴证券股份有限公司,立信会计师事务所(特殊普通合伙),北京国融兴华资产评估有限责任公司,国浩律师事务所,2020/10/22,3.5,172.72,0.19,1,江苏,橡胶和塑料制品业,,材料--材料Ⅱ--化工--化纤,A股,深圳,106.93,-15.75,-15.45,
605169.SH,洪通燃气,707169,2020/10/12,2020/10/20,2020/10/30,主板,22.22,22.23,22.23,4000,4000,0,400,3600,50,9.19,8.89,8.39,4997.83,5.62,0,0,4997.83,5.62,3846.04,320.75,405.66,405.66,"网下询价,上网定价",余额包销,西部证券股份有限公司,大信会计师事务所(特殊普通合伙),中京民信(北京)资产评估有限公司,上海市锦天城律师事务所,2020/10/19,12.97,288.23,0.32,1,新疆,燃气生产和供应业,,公用事业--公用事业Ⅱ--燃气Ⅲ--燃气,A股,上海,35.46,-14.02,-7.94,
300902.SZ,国安达,300902,2020/9/30,2020/10/20,2020/10/29,创业板,15.38,27.25,45.83,3199.5,3199.5,0,1647.75,1551.75,20,6.61,4.92,4.42,4992.32,10.15,0,0,4992.32,10.15,3653.48,745.28,160.38,382.08,"网下询价,上网定价",余额包销,招商证券股份有限公司,天健会计师事务所(特殊普通合伙),福建中兴资产评估房地产土地估价有限责任公司,北京金诚同达律师事务所,2020/10/19,3.47,53.31,0.11,1,福建,专用设备制造业,制造业-机械、设备、仪表-专用设备制造业,工业--商业和专业服务--商业服务与用品--安全和报警服务,A股,深圳,301.82,-9.66,-17.01,
688133.SH,泰坦科技,787133,2020/9/30,2020/10/20,2020/10/30,科创板,44.47,48.81,131.69,1906.23,1906.23,0,1257.58,648.65,10,6.1,8.48,7.73,7499.76,8.85,0,0,7499.76,8.85,5524.55,985,350,528.3,"战略配售,网下询价,上网定价",余额包销,光大证券股份有限公司,大信会计师事务所(特殊普通合伙),北京卓信大华资产评估有限公司,北京德恒律师事务所,2020/10/19,0.68,30.2,0.04,1,上海,研究和试验发展,社会服务业-专业、科研服务业-其他专业、科研服务业,材料--材料Ⅱ--化工--特种化工,A股,上海,48.55,18.09,47.12,
688133.SH,泰坦科技,787133,2020/9/30,2020/10/20,2020/10/30,科创板,44.47,48.81,131.69,1906.23,1906.23,0,1257.58,648.65,10,6.1,8.48,7.73,7499.76,8.85,0,0,7499.76,8.85,5524.55,985,350,528.3,"战略配售,网下询价,上网定价",余额包销,中信证券股份有限公司,大信会计师事务所(特殊普通合伙),北京卓信大华资产评估有限公司,北京德恒律师事务所,2020/10/19,0.68,30.2,0.04,1,上海,研究和试验发展,社会服务业-专业、科研服务业-其他专业、科研服务业,材料--材料Ⅱ--化工--特种化工,A股,上海,48.55,18.09,47.12,
601995.SH,中金公司,780995,2020/10/12,2020/10/20,2020/11/2,主板,28.78,33.89,33.9,45858.9,45858.9,0,22433.6,23425.3,42.97,131.98,131.98,130.32,16612.99,1.26,0,0,16612.99,1.26,13073.68,2037.74,561.89,522.64,"战略配售,网下询价,上网定价",余额包销,东方证券承销保荐有限公司,德勤华永会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市金杜律师事务所,2020/10/19,87.24,2510.68,0.19,1,北京,资本市场服务,金融、保险业-证券、期货业-综合类证券公司,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海,30.99,51.49,60.16,
601995.SH,中金公司,780995,2020/10/12,2020/10/20,2020/11/2,主板,28.78,33.89,33.9,45858.9,45858.9,0,22433.6,23425.3,42.97,131.98,131.98,130.32,16612.99,1.26,0,0,16612.99,1.26,13073.68,2037.74,561.89,522.64,"战略配售,网下询价,上网定价",余额包销,中国银河证券股份有限公司,德勤华永会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市金杜律师事务所,2020/10/19,87.24,2510.68,0.19,1,北京,资本市场服务,金融、保险业-证券、期货业-综合类证券公司,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海,30.99,51.49,60.16,
601995.SH,中金公司,780995,2020/10/12,2020/10/20,2020/11/2,主板,28.78,33.89,33.9,45858.9,45858.9,0,22433.6,23425.3,42.97,131.98,131.98,130.32,16612.99,1.26,0,0,16612.99,1.26,13073.68,2037.74,561.89,522.64,"战略配售,网下询价,上网定价",余额包销,平安证券股份有限公司,德勤华永会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市金杜律师事务所,2020/10/19,87.24,2510.68,0.19,1,北京,资本市场服务,金融、保险业-证券、期货业-综合类证券公司,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海,30.99,51.49,60.16,
601995.SH,中金公司,780995,2020/10/12,2020/10/20,2020/11/2,主板,28.78,33.89,33.9,45858.9,45858.9,0,22433.6,23425.3,42.97,131.98,131.98,130.32,16612.99,1.26,0,0,16612.99,1.26,13073.68,2037.74,561.89,522.64,"战略配售,网下询价,上网定价",余额包销,申万宏源证券承销保荐有限责任公司,德勤华永会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市金杜律师事务所,2020/10/19,87.24,2510.68,0.19,1,北京,资本市场服务,金融、保险业-证券、期货业-综合类证券公司,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海,30.99,51.49,60.16,
601995.SH,中金公司,780995,2020/10/12,2020/10/20,2020/11/2,主板,28.78,33.89,33.9,45858.9,45858.9,0,22433.6,23425.3,42.97,131.98,131.98,130.32,16612.99,1.26,0,0,16612.99,1.26,13073.68,2037.74,561.89,522.64,"战略配售,网下询价,上网定价",余额包销,中银国际证券股份有限公司,德勤华永会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市金杜律师事务所,2020/10/19,87.24,2510.68,0.19,1,北京,资本市场服务,金融、保险业-证券、期货业-综合类证券公司,金融--多元金融--资本市场--投资银行业与经纪业,A股,上海,30.99,51.49,60.16,
